source_row	source_form	form	evidence	raw_form
6450	patepo koya codad.	Mapatepo koya codad.	source/upstream/t.txt:4745	Mapatepo koya codad.
6460	Sateretered koya wawa a caciyaw.	Sateretered sa koya wawa a caciyaw.	t.txt:4779	Sateretered sa koya wawa a caciyaw.
6464	Pasowal saho Yis i terep sato ko fali.	Pasowal saho ci Yis i terep sato ko fali.	t.txt:4820	Pasowal saho ci Yis i terep sato ko fali.
6482	O tati'eren ita Yis.	O tati'eren ita ci Yis.	t.txt:2570	O tati'eren ita ci Yis.
6483	O piti'eran ita Yis.	O piti'eran ita ci Yis.	t.txt:2573	O piti'eran ita ci Yis.
6484	O nano piti'er ita Kristoan ko saka ma'orip kita.	O nano piti'er ita ci Kristoan ko saka ma'orip kita.	t.txt:2576	O nano piti'er ita ci Kristoan ko saka ma'orip kita.
6503	tatihi kami a maro'.	Matatihi kami a maro'.	t.txt:2763	Matatihi kami a maro'.
6505	Malatihi ako cingra i lasofitayan.	Malatihi ako cingra i kalasofitayan.	t.txt:2771	Malatihi ako cigra i kalasofitayan.
6506	Aka satatihi.	Aka pisatatihi.	t.txt:2776	Aka pisatatihi.
6507	satatihi ko pipateli.	Masatatihi ko pipateli.	t.txt:2779	Masatatihi ko pipateli.
6511	tatikeda kami i lalan.	Matatikeda kami i lalan.	t.txt:2815	Matatikeda kami i lalan.
6513	tatiko to ko faloco' niyam a malacecay.	Matatiko to ko faloco' niyam a malacecay.	t.txt:2833	Matatiko to ko faloco' niyam a malacecay.
6523	O tilid wlo konini.	O tilid ni Pawlo konini.	t.txt:2875	O tilid ni Pawlo konini.
6524	Patiliden wlo ko salikaka no Loma.	Patiliden ni Pawlo ko salikaka no Loma.	t.txt:2878	Patiliden ni Pawlo ko salikaka no Loma.
6529	Masadak to ko tilo Idek.	Masadak to ko tilo ni Idek.	source/upstream/t.txt:2902	Masadak to ko tilo ni Idek.
6542	tinako	tinako sa	source/upstream/t.txt:2964	tinako sa
6544	Adihay ko tinako Yis.	Adihay ko tinako ni Yis.	t.txt:2974	Adihay ko tinako ni Yis.
6545	Matinako to ako ko tiraay a pades.	Matinako to ako ko matiraay a pades.	t.txt:2979	Matinako to ako ko matiraay a pades.
6552	tatingasod ko rakat niyam.	Matatingasod ko rakat niyam.	t.txt:2676	Matatigasod ko rakat niyam.
6553	tatingasod ko radiw nangra.	Matatingasod ko radiw nangra.	t.txt:2679	Matatigasod ko radiw nagra.
6560	na a tingting ko kareteng nonini?	Pina a tingting ko kareteng nonini?	t.txt:2730	Pina a tigtig ko kareteg nonini?
6566	tatinol cangra a romadiw.	Matatinol cangra a romadiw.	t.txt:2990	Matatinol cagra a romadiw.
6567	tatinol ko soni no 'ayam.	Matatinol ko soni no 'ayam.	t.txt:2993	Matatinol ko soni no 'ayam.
6587	Adada emin ko tatirengan ako.	Adada maemin ko tatirengan ako.	t.txt:3081	Adada maemin ko tatiregan ako.
6588	tomireng han ako cingra i tireng nngra.	Katomireng han ako cingra i tireng sa cinngra.	source/upstream/t.txt:3086	Katomireg han ako cigra i tireg sa cingra.
6591	tatiri' konini a codad.	Matatiri' konini a codad.	t.txt:3104	Matatiri' konini a codad.
6592	sotiri'en konini a tosa	Pasasotiri'en konini a tosa	t.txt:3107	Pasasotiri'en konini a tosa
6595	Mitiselay ko pinengneng no was to laloma' no faloco' ita.	Mitiselay ko pinengneng no Kawas to laloma' no faloco' ita.	t.txt:3120	Mitiselay ko pinegneg no Kawas to laloma' no faloco' ita.
6596	Satisil ko sofitay a romakat.	Satisil sa ko sofitay a romakat.	t.txt:3127	Satisil sa ko sofitay a romakat.
6614	Nano to'as ira ko tiniay a nangan niyam.	Nano to'as ira ko matiniay a pinangan niyam.	t.txt:3713	Nano to'as ira ko matiniay a pinagan niyam.
6617	O mato'asay niyam cingra.	O samato'asay niyam cingra.	source/upstream/t.txt:3724	O samato'asay niyam cigra.
6628	To'to kako a mitengil.	To'to sa kako a mitengil.	t.txt:3790	To'to sa kako a mitegil.
6629	to^to to tayal	mito^to to tayal	t.txt:3793	mito^to to tayal
6653	O todong no tofor a siri Yis.	O todong no tofor a siri ci Yis.	t.txt:3915	O todog no tofor a siri ci Yis.
6674	na ko toki?	Pina ko toki?	t.txt:4051	Pina ko toki?
6679	Satokinikinil cingra a miharateng.	Satokinikinil sa cingra a miharateng.	t.txt:4078	Satokinikinil sa cigra a miharateg.
6702	Awaay ko tolas no taneng no was.	Awaay ko tolas no taneng no Kawas.	t.txt:4195	Awaay ko tolas no taneg no Kawas.
6709	Patolem han nira ko waco i rkaran nira a 'ofang.	Patolem han nira ko waco i nikarkaran nira a 'ofang.	t.txt:4224	Patolem han nira ko waco i nikarkaran nira a 'ofag.
6715	tatolo a wawa cingra.	Sakatatolo a wawa cingra.	source/upstream/t.txt:4247	Sakatatolo a wawa cigra.
6729	Patomecek cingra a somowal takowanan.	Patomecek sa cingra a somowal takowanan.	source/upstream/t.txt:4307	Patomecek sa cigra a somowal takowanan.
6744	tatonekan nangra	katatonekan nangra	t.txt:4365	katatonekan nagra
6751	tatongoden konini.	Patatongoden konini.	source/upstream/t.txt:3960	Patatogoden konini.
6754	Romakat tiro i tongroh no nanom.	Romakat ci Pitiro i tongroh no nanom.	t.txt:2701	Romakat ci Pitiro i togroh no nanom.
6757	tatongroh ko loma'.	Matatongroh ko loma'.	t.txt:2712	Matatogroh ko loma'.
6761	Masenger ko lalan saka toni' ko lalan.	Masenger ko lalan saka toni' sa ko lalan.	t.txt:4375	Maseger ko lalan saka toni' sa ko lalan.
6771	patopida' no sopa' kako.	Mapatopida' no sopa' kako.	t.txt:4448	Mapatopida' no sopa' kako.
6787	Patoroden Wamaan ko karorayan no faloco' iso.	Patoroden ci Wamaan ko karorayan no faloco' iso.	t.txt:4538	Patoroden ci Wamaan ko karorayan no faloco' iso.
6797	litosaen koya epang.	Kalitosaen koya epang.	source/upstream/t.txt:4587	Kalitosaen koya epag.
6798	O kinatosa anini.	O sakinatosa anini.	t.txt:4590	O sakinatosa anini.
6828	tiya o waco canngra.	Matiya o waco canngra.	source/upstream/w.txt:43	Matiya o waco cangra.
6861	Warawara ko rakat nira.	Warawara sa ko rakat nira.	w.txt:207	Warawara sa ko rakat nira.
6862	Mawarawara ko rakat no sangay.	Mawarawara ko rakat no malasangay.	w.txt:210	Mawarawara ko rakat no malasagay.
6877	na ko widi?	Pina ko widi?	w.txt:309	Pina ko widi?
6893	yafayaf ko rakat nangra.	mayafayaf ko rakat nangra.	y.txt:8	mayafayaf ko rakat nagra.
